"AUXR4KR.Code.or.Value","AUXR4KR.Value.Description","AUXR4KR.Count","AUXR4KR.Cumulative","AUXR4KR.Skip.to.Item"
"666","No response",0,0,NA
"888","Could not obtain",0,0,NA
".","Missing",1210,1210,NA
