"DS2TSODI.Code.or.Value","DS2TSODI.Value.Description","DS2TSODI.Count","DS2TSODI.Cumulative","DS2TSODI.Skip.to.Item"
"0.5 to 434","Range of Values",378,378,NA
".","Missing",9166,9544,NA
