"VTQ240B.Code.or.Value","VTQ240B.Value.Description","VTQ240B.Count","VTQ240B.Cumulative","VTQ240B.Skip.to.Item"
"1 to 999","Range of Values",1252,1252,NA
".","Missing",2293,3545,NA
