"DIQ300D.Code.or.Value","DIQ300D.Value.Description","DIQ300D.Count","DIQ300D.Cumulative","DIQ300D.Skip.to.Item"
"0 to 160","Range of Values",288,288,NA
"7777","Refused",0,288,NA
"9999","Don't know",228,516,NA
".","Missing",9306,9822,NA
