"WBXP087.Code.or.Value","WBXP087.Value.Description","WBXP087.Count","WBXP087.Cumulative","WBXP087.Skip.to.Item"
"-169.3476 to 162.6608","Range of Values",8551,8551,NA
".","Missing",3,8554,NA
