"RIDEXAGM.Code.or.Value","RIDEXAGM.Value.Description","RIDEXAGM.Count","RIDEXAGM.Cumulative","RIDEXAGM.Skip.to.Item"
"0 to 239","Range of Values",4213,4213,NA
".","Missing",5962,10175,NA
