"URXBSM.Code.or.Value","URXBSM.Value.Description","URXBSM.Count","URXBSM.Cumulative","URXBSM.Skip.to.Item"
"0.0354 to 0.0354","Range of Values",2494,2494,NA
".","Missing",200,2694,NA
