"DBD040.Code.or.Value","DBD040.Value.Description","DBD040.Count","DBD040.Cumulative","DBD040.Skip.to.Item"
"1 to 547","Range of Values",1790,1790,""
"0","Never on a daily basis",248,2038,"DBD060"
"777777","Refused",0,2038,""
"999999","Don't know",7,2045,""
".","Missing",8994,11039,""
