"WTMEC2YR.Code.or.Value","WTMEC2YR.Value.Description","WTMEC2YR.Count","WTMEC2YR.Cumulative","WTMEC2YR.Skip.to.Item"
"0 to 159302.77518","Range of Values",10122,10122,NA
".","Missing",0,10122,NA
