"MCQ240BB.Code.or.Value","MCQ240BB.Value.Description","MCQ240BB.Count","MCQ240BB.Cumulative","MCQ240BB.Skip.to.Item"
"20 to 70","Range of Values",9,9,NA
"80","80 years or older",0,9,NA
"77777","Refused",0,9,NA
"99999","Don't know",0,9,NA
".","Missing",9657,9666,NA
