"AUXU6KL.Code.or.Value","AUXU6KL.Value.Description","AUXU6KL.Count","AUXU6KL.Cumulative","AUXU6KL.Skip.to.Item"
"-10 to 120","Range of Values",1881,1881,NA
"666","No response",1,1882,NA
"888","Could not obtain",0,1882,NA
".","Missing",164,2046,NA
