"ORXH42.Code.or.Value","ORXH42.Value.Description","ORXH42.Count","ORXH42.Cumulative","ORXH42.Skip.to.Item"
"1","Positive",7,7,NA
"2","Negative",4403,4410,NA
"3","Not evaluated",386,4796,NA
".","Missing",0,4796,NA
