"ENXMEAN.Code.or.Value","ENXMEAN.Value.Description","ENXMEAN.Count","ENXMEAN.Cumulative","ENXMEAN.Skip.to.Item"
"3.5 to 301","Range of Values",7087,7087,NA
".","Missing",1108,8195,NA
