"CFDAPP.Code.or.Value","CFDAPP.Value.Description","CFDAPP.Count","CFDAPP.Cumulative","CFDAPP.Skip.to.Item"
"1","Passed",1449,1449,"CFDAST"
"2","Failed",7,1456,"CFDDPP"
"3","Not done",54,1510,""
".","Missing",177,1687,""
