"LBXETH.Code.or.Value","LBXETH.Value.Description","LBXETH.Count","LBXETH.Cumulative","LBXETH.Skip.to.Item"
"1","Positive",17,17,NA
"2","Negative",355,372,NA
".","Missing",9557,9929,NA
