"CVQ220g.Code.or.Value","CVQ220g.Value.Description","CVQ220g.Count","CVQ220g.Cumulative","CVQ220g.Skip.to.Item"
"1","Yes",14,14,NA
"2","No",439,453,NA
".","Missing",4699,5152,NA
