"LBDMIRLC.Code.or.Value","LBDMIRLC.Value.Description","LBDMIRLC.Count","LBDMIRLC.Cumulative","LBDMIRLC.Skip.to.Item"
"0","detectable result",538,538,NA
"1","below detectable limit",1719,2257,NA
".","Missing",290,2547,NA
