"DXDLLPF.Code.or.Value","DXDLLPF.Value.Description","DXDLLPF.Count","DXDLLPF.Cumulative","DXDLLPF.Skip.to.Item"
"11.3 to 58.8","Range of Values",4651,4651,NA
".","Missing",1041,5692,NA
