"DSD090.Code.or.Value","DSD090.Value.Description","DSD090.Count","DSD090.Cumulative","DSD090.Skip.to.Item"
"1 to 24820","Range of Values",9476,9476,NA
"7777777","Refused",1,9477,NA
"9999999","Don't know",35,9512,NA
".","Missing",47,9559,NA
