"DSQTVK.Code.or.Value","DSQTVK.Value.Description","DSQTVK.Count","DSQTVK.Cumulative","DSQTVK.Skip.to.Item"
"0.2 to 2000","Range of Values",1270,1270,NA
".","Missing",8486,9756,NA
