"OHAROCOH.Code.or.Value","OHAROCOH.Value.Description","OHAROCOH.Count","OHAROCOH.Cumulative","OHAROCOH.Skip.to.Item"
"1","Yes",1466,1466,NA
"2","No",9,1475,NA
".","Missing",7481,8956,NA
