"URXCRS.Code.or.Value","URXCRS.Value.Description","URXCRS.Count","URXCRS.Cumulative","URXCRS.Skip.to.Item"
"442 to 59935","Range of Values",7844,7844,NA
".","Missing",242,8086,NA
