"DRD350F.Code.or.Value","DRD350F.Value.Description","DRD350F.Count","DRD350F.Cumulative","DRD350F.Skip.to.Item"
"1","Yes",60,60,""
"2","No",1159,1219,"DRD350G"
".","Missing",8424,9643,""
