"URX1TB.Code.or.Value","URX1TB.Value.Description","URX1TB.Count","URX1TB.Cumulative","URX1TB.Skip.to.Item"
"0.07 to 6.8","Range of Values",2604,2604,NA
".","Missing",114,2718,NA
