"DS1TVB2.Code.or.Value","DS1TVB2.Value.Description","DS1TVB2.Count","DS1TVB2.Cumulative","DS1TVB2.Skip.to.Item"
"0.003 to 405","Range of Values",1088,1088,NA
".","Missing",8456,9544,NA
