"MCQ260DA.Code.or.Value","MCQ260DA.Value.Description","MCQ260DA.Count","MCQ260DA.Cumulative","MCQ260DA.Skip.to.Item"
"1","Mother",1055,1055,"MCQ250E"
"77","Refused",0,1055,"MCQ250E"
"99","Don't know",3,1058,"MCQ250E"
".","Missing",8435,9493,""
