"DS2IVB6.Code.or.Value","DS2IVB6.Value.Description","DS2IVB6.Count","DS2IVB6.Cumulative","DS2IVB6.Skip.to.Item"
"0 to 600","Range of Values",1981,1981,NA
".","Missing",3667,5648,NA
