"PAD440.Code.or.Value","PAD440.Value.Description","PAD440.Count","PAD440.Cumulative","PAD440.Skip.to.Item"
"1","Yes",2636,2636,""
"2","No",4909,7545,"PAD480"
"3","Unable to do activity",234,7779,"PAD480"
"7","Refused",4,7783,"PAD480"
"9","Don't know",1,7784,"PAD480"
".","Missing",2310,10094,""
