"DS2IVD.Code.or.Value","DS2IVD.Value.Description","DS2IVD.Count","DS2IVD.Cumulative","DS2IVD.Skip.to.Item"
"0.625 to 2500","Range of Values",2664,2664,NA
".","Missing",3239,5903,NA
