"RHQ541A.Code.or.Value","RHQ541A.Value.Description","RHQ541A.Count","RHQ541A.Cumulative","RHQ541A.Skip.to.Item"
"10","Pills",568,568,NA
"77","Refused",0,568,NA
"99","Don't know",1,569,NA
".","Missing",3296,3865,NA
