"WTSBA48.Code.or.Value","WTSBA48.Value.Description","WTSBA48.Count","WTSBA48.Cumulative","WTSBA48.Skip.to.Item"
"0 to 350835.76421","Range of Values",946,946,NA
".","Missing",65,1011,NA
