"DS1ISODI.Code.or.Value","DS1ISODI.Value.Description","DS1ISODI.Count","DS1ISODI.Cumulative","DS1ISODI.Skip.to.Item"
"0.8 to 460","Range of Values",457,457,NA
".","Missing",5237,5694,NA
