"DRXTS060.Code.or.Value","DRXTS060.Value.Description","DRXTS060.Count","DRXTS060.Cumulative","DRXTS060.Skip.to.Item"
"0 to 5.09","Range of Values",8725,8725,NA
".","Missing",557,9282,NA
