"DRD370AQ.Code.or.Value","DRD370AQ.Value.Description","DRD370AQ.Count","DRD370AQ.Cumulative","DRD370AQ.Skip.to.Item"
"1 to 15","Range of Values",646,646,NA
".","Missing",9167,9813,NA
