"LBXHBS.Code.or.Value","LBXHBS.Value.Description","LBXHBS.Count","LBXHBS.Cumulative","LBXHBS.Skip.to.Item"
"1","Positive",2540,2540,NA
"2","Negative",5052,7592,NA
".","Missing",1145,8737,NA
