"RFXT047.Code.or.Value","RFXT047.Value.Description","RFXT047.Count","RFXT047.Cumulative","RFXT047.Skip.to.Item"
"398 to 407","Range of Values",33703,33703,NA
".","Missing",18,33721,NA
