"AAXFLTYP.Code.or.Value","AAXFLTYP.Value.Description","AAXFLTYP.Count","AAXFLTYP.Cumulative","AAXFLTYP.Skip.to.Item"
"1","Low pile carpet or rug",5084,5084,NA
"2","Medium to high pile carpet or rug",706,5790,NA
"3","Smooth surface",815,6605,NA
"4","Combination of carpet and smooth surface",198,6803,NA
"9","Don't know",144,6947,NA
".","Missing",2493,9440,NA
