"AUXTWIDL.Code.or.Value","AUXTWIDL.Value.Description","AUXTWIDL.Count","AUXTWIDL.Cumulative","AUXTWIDL.Skip.to.Item"
"17 to 435","Range of Values",2662,2662,NA
".","Missing",469,3131,NA
