"MCQ240e.Code.or.Value","MCQ240e.Value.Description","MCQ240e.Count","MCQ240e.Cumulative","MCQ240e.Skip.to.Item"
"23 to 76","Range of Values",64,64,NA
"80","80 years or older",3,67,NA
"77777","Refused",0,67,NA
"99999","Don't know",0,67,NA
".","Missing",9297,9364,NA
