"SDDSRVYR.Code.or.Value","SDDSRVYR.Value.Description","SDDSRVYR.Count","SDDSRVYR.Cumulative","SDDSRVYR.Skip.to.Item"
"4","NHANES 2005-2006 Public Release",10348,10348,NA
".","Missing",0,10348,NA
