"LEXRPTS1.Code.or.Value","LEXRPTS1.Value.Description","LEXRPTS1.Count","LEXRPTS1.Cumulative","LEXRPTS1.Skip.to.Item"
"60 to 251","Range of Values",2215,2215,NA
".","Missing",660,2875,NA
