"DR2TSFAT.Code.or.Value","DR2TSFAT.Value.Description","DR2TSFAT.Count","DR2TSFAT.Cumulative","DR2TSFAT.Skip.to.Item"
"0 to 151.511","Range of Values",6875,6875,NA
".","Missing",2669,9544,NA
