"WBXF058.Code.or.Value","WBXF058.Value.Description","WBXF058.Count","WBXF058.Cumulative","WBXF058.Skip.to.Item"
"1943.0639 to 1943.0639","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
