"URDDMALC.Code.or.Value","URDDMALC.Value.Description","URDDMALC.Count","URDDMALC.Cumulative","URDDMALC.Skip.to.Item"
"0","At or above the detection limit",2416,2416,NA
"1","Below lower detection limit",112,2528,NA
".","Missing",110,2638,NA
