"TYXP246.Code.or.Value","TYXP246.Value.Description","TYXP246.Count","TYXP246.Cumulative","TYXP246.Skip.to.Item"
"-297 to 143","Range of Values",77,77,NA
".","Missing",5508,5585,NA
