"DIQ200B.Code.or.Value","DIQ200B.Value.Description","DIQ200B.Count","DIQ200B.Cumulative","DIQ200B.Skip.to.Item"
"1","Yes",2931,2931,NA
"2","No",4330,7261,NA
"7","Refused",0,7261,NA
"9","Don't know",6,7267,NA
".","Missing",2555,9822,NA
