"DRD340.Code.or.Value","DRD340.Value.Description","DRD340.Count","DRD340.Cumulative","DRD340.Skip.to.Item"
"1","Yes",4482,4482,""
"2","No",4898,9380,"DRD360"
"7","Refused",11,9391,"DRD360"
"9","Don't know",23,9414,"DRD360"
".","Missing",839,10253,""
