"URXUCS.Code.or.Value","URXUCS.Value.Description","URXUCS.Count","URXUCS.Cumulative","URXUCS.Skip.to.Item"
"0.1 to 363.48","Range of Values",2690,2690,NA
".","Missing",114,2804,NA
