"AUXTCOML.Code.or.Value","AUXTCOML.Value.Description","AUXTCOML.Count","AUXTCOML.Cumulative","AUXTCOML.Skip.to.Item"
"0 to 4.2","Range of Values",2158,2158,NA
"777","Refused",2,2160,NA
"888","Could not obtain",62,2222,NA
".","Missing",146,2368,NA
