"WTSVOC2Y.Code.or.Value","WTSVOC2Y.Value.Description","WTSVOC2Y.Count","WTSVOC2Y.Cumulative","WTSVOC2Y.Skip.to.Item"
"10596.781295 to 499733.23816","Range of Values",3176,3176,""
"0","No Lab Result",218,3394,"End of Section"
".","Missing",0,3394,""
