"MGXH2T3.Code.or.Value","MGXH2T3.Value.Description","MGXH2T3.Count","MGXH2T3.Cumulative","MGXH2T3.Skip.to.Item"
"5.1 to 82.9","Range of Values",7059,7059,NA
".","Missing",762,7821,NA
