"DR2TS180.Code.or.Value","DR2TS180.Value.Description","DR2TS180.Count","DR2TS180.Cumulative","DR2TS180.Skip.to.Item"
"0 to 36.866","Range of Values",7715,7715,NA
".","Missing",2047,9762,NA
