"WHQ500.Code.or.Value","WHQ500.Value.Description","WHQ500.Count","WHQ500.Cumulative","WHQ500.Skip.to.Item"
"1","lose weight,",589,589,""
"2","gain weight,",179,768,"WHQ520"
"3","stay the same weight, or",396,1164,"WHQ520"
"4","not trying to do anything about your weight?",312,1476,"WHQ520"
"7","Refused",1,1477,"WHQ520"
"9","Don't know",1,1478,"WHQ520"
".","Missing",74,1552,""
