"LBDHDDSI.Code.or.Value","LBDHDDSI.Value.Description","LBDHDDSI.Count","LBDHDDSI.Cumulative","LBDHDDSI.Skip.to.Item"
"0.36 to 4.53","Range of Values",6989,6989,NA
".","Missing",832,7821,NA
