"LEDANKCF.Code.or.Value","LEDANKCF.Value.Description","LEDANKCF.Count","LEDANKCF.Cumulative","LEDANKCF.Skip.to.Item"
"1","9 cm",8,8,NA
"3","12 cm",774,782,NA
"4","15 cm",2083,2865,NA
"5","18 cm",0,2865,NA
"8","Could not obtain",1,2866,NA
".","Missing",318,3184,NA
