"DMDFMSIZ.Code.or.Value","DMDFMSIZ.Value.Description","DMDFMSIZ.Count","DMDFMSIZ.Cumulative","DMDFMSIZ.Skip.to.Item"
"1 to 6","Range of Values",9506,9506,NA
"7","7 or more people in the Family",842,10348,NA
".","Missing",0,10348,NA
