"FIAINTRP.Code.or.Value","FIAINTRP.Value.Description","FIAINTRP.Count","FIAINTRP.Cumulative","FIAINTRP.Skip.to.Item"
"1","Yes",114,114,NA
"2","No",9907,10021,NA
".","Missing",128,10149,NA
