"DS2IFDFE.Code.or.Value","DS2IFDFE.Value.Description","DS2IFDFE.Count","DS2IFDFE.Cumulative","DS2IFDFE.Skip.to.Item"
"0 to 8500","Range of Values",1932,1932,NA
".","Missing",3716,5648,NA
