"MCQ366b.Code.or.Value","MCQ366b.Value.Description","MCQ366b.Count","MCQ366b.Cumulative","MCQ366b.Skip.to.Item"
"1","Yes",2474,2474,NA
"2","No",3686,6160,NA
"7","Refused",0,6160,NA
"9","Don't know",1,6161,NA
".","Missing",2736,8897,NA
