"LBDBMNSI.Code.or.Value","LBDBMNSI.Value.Description","LBDBMNSI.Count","LBDBMNSI.Cumulative","LBDBMNSI.Skip.to.Item"
"40.23 to 1827.66","Range of Values",4987,4987,NA
".","Missing",828,5815,NA
