"URXANBT.Code.or.Value","URXANBT.Value.Description","URXANBT.Count","URXANBT.Cumulative","URXANBT.Skip.to.Item"
"0.36 to 76.2","Range of Values",977,977,NA
".","Missing",1485,2462,NA
