"CIQG29.Code.or.Value","CIQG29.Value.Description","CIQG29.Count","CIQG29.Cumulative","CIQG29.Skip.to.Item"
"0 to 260","Range of Values",73,73,NA
"777","Refused",0,73,NA
"999","Don't know",1,74,NA
".","Missing",704,778,NA
