"WBXF065.Code.or.Value","WBXF065.Value.Description","WBXF065.Count","WBXF065.Cumulative","WBXF065.Skip.to.Item"
"2378.4142 to 2378.4142","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
