"URXUBE.Code.or.Value","URXUBE.Value.Description","URXUBE.Count","URXUBE.Cumulative","URXUBE.Skip.to.Item"
"0.09 to 0.2","Range of Values",2690,2690,NA
".","Missing",114,2804,NA
